user_id,group_pp
2826,3
10670,3
15234,1
29060,2
40014,2
43404,3
47824,1
65508,1
71496,1
72542,1
84540,1
85986,1
90716,2
93992,2
95354,2
96162,2
99768,3
100280,1
100904,2
101866,3
106758,1
109014,2
109576,1
113538,3
113768,2
126924,2
130502,2
132310,3
139240,1
140702,1
141776,1
147730,3
147962,3
153054,2
162408,3
166464,1
167574,2
168686,1
174642,1
179282,2
186594,2
191766,2
191902,3
192946,3
200408,3
203312,2
205364,1
209788,2
218508,3
223186,1
234316,2
236250,2
238828,2
252380,2
255872,3
256034,2
257396,2
257772,2
260740,2
263964,2
264158,3
265278,1
271072,3
272110,2
279936,1
280312,2
284032,1
292032,1
292200,1
292470,2
297392,1
298054,1
301954,3
306790,2
311070,1
315000,2
330780,1
333696,2
334894,2
334944,1
338348,1
340324,2
342416,3
342578,1
348724,1
358450,2
359794,3
365868,2
366608,3
368002,2
370918,1
374836,1
375972,1
377304,3
383888,1
384066,3
385000,2
393378,1
395560,2
401360,1
401958,3
402578,3
408344,2
412354,2
413004,1
418358,2
422170,2
430060,3
430982,3
433528,2
436232,1
440280,3
444984,3
446818,1
450658,3
456180,2
457592,2
457728,3
464614,1
465622,2
466280,1
467388,1
467670,1
468608,1
469690,3
470780,3
473208,1
482324,3
483046,1
484722,1
484978,3
485236,2
485688,2
494250,1
494594,2
495476,3
498660,1
498836,1
508768,2
511190,2
519456,2
522556,2
524460,3
525118,2
527708,2
533758,3
552046,1
553288,2
565602,2
567420,1
567898,1
568936,2
569466,1
569762,3
576102,3
582172,3
582558,1
590290,3
590884,1
595680,3
596244,2
606374,2
611922,3
613846,1
614538,2
616202,1
620562,3
622194,2
625502,2
630158,1
637160,2
639162,2
654522,1
655610,1
657206,3
670656,2
672002,3
676838,2
677968,3
678056,3
681416,2
684160,1
685886,2
687736,2
691398,1
693008,2
693060,2
693702,1
696308,2
707062,1
710574,1
717872,3
717954,1
738136,1
738168,2
738452,2
742394,3
742774,2
747504,2
747518,3
750932,2
756848,1
758692,1
761056,2
761204,1
766004,2
771708,3
774532,1
777362,2
778532,2
784896,2
784902,3
801148,3
804932,3
809498,3
813562,2
819818,2
820088,3
821144,1
822794,2
826478,3
827230,3
